City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
187,Fortuna,US,40.5982,-124.1573,59.41,74,75,1.99,broken clouds
188,Coihaique,CL,-45.5752,-72.0662,48.15,43,0,6.91,clear sky
189,Kodiak,US,57.79,-152.4072,47.71,81,90,27.63,moderate rain
190,Yumen,CN,40.2833,97.2,41.76,39,100,6.96,overcast clouds
191,Dryden,CA,49.7833,-92.7503,35.89,93,40,5.75,scattered clouds
192,Asau,RO,46.4333,26.4,35.96,96,0,1.86,clear sky
193,Tahta,EG,26.7693,31.5021,75.31,34,100,10.2,overcast clouds
194,Port Hawkesbury,CA,45.6169,-61.3485,47.79,93,90,3.0,overcast clouds
195,Barra Do Garcas,BR,-15.89,-52.2567,72.91,83,100,3.58,overcast clouds
196,Carnarvon,AU,-24.8667,113.6333,73.47,56,0,18.41,clear sky
197,Sungai Padi,TH,6.0851,101.8766,83.98,72,97,0.74,overcast clouds
198,Teguise,ES,29.0605,-13.564,62.82,82,0,10.36,clear sky
199,Jackson,US,42.4165,-122.8345,57.07,89,75,0.0,broken clouds
200,Te Anau,NZ,-45.4167,167.7167,51.06,78,93,6.67,overcast clouds
201,Goderich,CA,43.7501,-81.7165,48.9,87,100,5.75,overcast clouds
202,Adrar,MR,20.5022,-10.0711,79.05,39,100,6.26,overcast clouds
203,Xichang,CN,27.8964,102.2634,54.12,85,100,3.96,overcast clouds
204,Nantucket,US,41.2835,-70.0995,63.97,94,100,27.27,overcast clouds
205,Casas Grandes,MX,30.3667,-107.95,61.45,35,0,9.55,clear sky
206,Roswell,US,34.0232,-84.3616,54.68,94,90,1.99,overcast clouds
207,Kabale,UG,-1.2486,29.9899,56.71,91,100,3.09,overcast clouds
208,Roanoke Rapids,US,36.4615,-77.6542,53.35,100,1,4.61,clear sky
209,Padang,ID,-0.9492,100.3543,78.85,81,99,1.43,overcast clouds
210,Koulamoutou,GA,-1.1303,12.4736,70.16,99,99,1.05,light rain
211,Puerto Palomas,MX,31.7667,-107.6167,67.33,22,0,9.08,clear sky
212,Lodwar,KE,3.1191,35.5973,83.17,46,89,11.79,overcast clouds
