city_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,Kieta,-6.2167,155.6333,81.09,79,98,3.53,PG,2021-10-30 22:59:39
165,Amudat,1.95,34.95,72.01,59,99,4.05,UG,2021-10-30 22:59:39
166,Mandera,3.9366,41.867,83.35,44,80,8.08,KE,2021-10-30 22:59:40
167,Nautla,20.2167,-96.7833,78.73,61,22,10.98,MX,2021-10-30 22:59:40
168,Vila Velha,-20.3297,-40.2925,71.55,94,75,4.61,BR,2021-10-30 22:59:40
169,Lata,40.1629,-8.3327,67.93,98,100,6.24,PT,2021-10-30 22:59:41
170,Morro Bay,35.3658,-120.8499,75.18,77,100,4.0,US,2021-10-30 22:59:41
171,Turukhansk,65.8167,87.9833,13.84,96,99,8.03,RU,2021-10-30 22:59:41
172,Santa Maria,-29.6842,-53.8069,79.9,57,0,6.91,BR,2021-10-30 22:59:42
173,Flinders,-34.5833,150.8552,66.79,62,0,4.0,AU,2021-10-30 22:59:42
174,Sechura,-5.5569,-80.8222,70.18,65,15,16.31,PE,2021-10-30 22:59:42
175,Souris,49.6172,-100.2612,42.66,47,33,13.78,CA,2021-10-30 22:59:42
176,Vanimo,-2.6741,141.3028,81.91,80,97,4.52,PG,2021-10-30 22:59:43
177,Llata,-9.4167,-76.7833,54.3,84,86,5.32,PE,2021-10-30 22:59:43
178,Kampene,-3.6,26.6667,67.8,98,97,1.68,CD,2021-10-30 22:59:43
179,Port Elizabeth,-33.918,25.5701,61.09,94,90,3.44,ZA,2021-10-30 22:59:12
180,Lagoa,39.05,-27.9833,70.38,84,100,23.17,PT,2021-10-30 22:59:44
181,Bereda,43.2686,-7.5406,62.01,91,97,6.71,ES,2021-10-30 22:59:44
182,Berea,41.3662,-81.8543,56.89,90,90,3.44,US,2021-10-30 22:59:45
183,Ode,7.7899,5.7117,72.05,77,92,4.25,NG,2021-10-30 22:59:45
184,Lebu,-37.6167,-73.65,53.06,82,100,13.6,CL,2021-10-30 22:59:45
185,Georgetown,5.4112,100.3354,78.73,92,40,5.99,MY,2021-10-30 22:58:32
186,Esperance,-33.8667,121.9,55.24,56,11,13.94,AU,2021-10-30 22:59:46
187,Kabarnet,0.4919,35.743,57.63,82,90,3.51,KE,2021-10-30 22:59:46
188,Sumbe,-11.2061,13.8437,75.24,85,100,6.26,AO,2021-10-30 22:59:46
